[2025-11-19 16:34:14] [DEBUG] Total discount to apply: 180
[2025-11-19 16:34:14] [DEBUG] Total discount to apply: 180
[2025-11-19 16:34:14] [DEBUG] Total discount to apply: 180
[2025-11-20 09:53:39] [DEBUG] Total discount to apply: 16.5
[2025-11-20 09:53:39] [DEBUG] Total discount to apply: 16.5
[2025-11-20 09:53:39] [DEBUG] Total discount to apply: 16.5
[2025-11-20 09:53:39] [DEBUG] Total discount to apply: 16.5
[2025-11-20 11:06:23] [DEBUG] Total discount to apply: 175
[2025-11-20 11:06:24] [DEBUG] Total discount to apply: 175
[2025-11-20 11:06:24] [DEBUG] Total discount to apply: 175
[2025-11-20 11:06:24] [DEBUG] Total discount to apply: 175
[2025-11-20 12:00:56] [DEBUG] Total discount to apply: 225
[2025-11-20 12:00:56] [DEBUG] Total discount to apply: 225
[2025-11-20 12:00:56] [DEBUG] Total discount to apply: 225
[2025-11-20 12:00:56] [DEBUG] Total discount to apply: 225
[2025-11-20 12:01:08] [DEBUG] Total discount to apply: 225
[2025-11-20 12:01:08] [DEBUG] Total discount to apply: 225
[2025-11-20 12:01:08] [DEBUG] Total discount to apply: 225
[2025-11-20 12:04:10] [DEBUG] Total discount to apply: 225
[2025-11-20 12:04:10] [DEBUG] Total discount to apply: 225
[2025-11-20 12:04:10] [DEBUG] Total discount to apply: 225
[2025-11-21 09:01:26] [DEBUG] Total discount to apply: 26.25
[2025-11-21 12:14:47] [DEBUG] Total discount to apply: 400
[2025-11-21 12:14:47] [DEBUG] Total discount to apply: 400
[2025-11-21 12:14:47] [DEBUG] Total discount to apply: 400
[2025-11-21 12:14:47] [DEBUG] Total discount to apply: 400
[2025-11-26 08:57:12] [DEBUG] Total discount to apply: 29.25
[2025-11-26 08:57:12] [DEBUG] Total discount to apply: 29.25
[2025-11-26 08:57:12] [DEBUG] Total discount to apply: 29.25
[2025-11-26 08:57:12] [DEBUG] Total discount to apply: 29.25
[2025-12-02 11:13:01] [DEBUG] Total discount to apply: 100
[2025-12-02 11:13:01] [DEBUG] Total discount to apply: 100
[2025-12-02 11:13:01] [DEBUG] Total discount to apply: 100
[2025-12-02 11:13:01] [DEBUG] Total discount to apply: 100
[2025-12-02 14:06:28] [DEBUG] Total discount to apply: 29.25
[2025-12-02 14:06:28] [DEBUG] Total discount to apply: 29.25
[2025-12-02 14:06:28] [DEBUG] Total discount to apply: 29.25
[2025-12-02 14:06:29] [DEBUG] Total discount to apply: 29.25
[2025-12-02 17:54:09] [DEBUG] Total discount to apply: 175
[2025-12-02 17:54:09] [DEBUG] Total discount to apply: 175
[2025-12-02 17:54:09] [DEBUG] Total discount to apply: 175
[2025-12-02 17:56:28] [DEBUG] Total discount to apply: 205
[2025-12-02 17:56:28] [DEBUG] Total discount to apply: 205
[2025-12-02 17:56:28] [DEBUG] Total discount to apply: 205
[2025-12-02 17:56:57] [DEBUG] Total discount to apply: 205
[2025-12-02 17:56:57] [DEBUG] Total discount to apply: 205
